Found 9995 total meshes to process
[1/9995] [1 success|0 fail] [SUCCESS] model_100030.obj (took 0.03s | total elapsed: 0.17s)
[2/9995] [2 success|0 fail] [SUCCESS] model_100073.obj (took 0.05s | total elapsed: 0.17s)
[3/9995] [3 success|0 fail] [SUCCESS] model_100028.obj (took 0.03s | total elapsed: 0.17s)
[4/9995] [4 success|0 fail] [SUCCESS] model_100037.obj (took 0.05s | total elapsed: 0.18s)
[5/9995] [5 success|0 fail] [SUCCESS] model_100033.obj (took 0.05s | total elapsed: 0.18s)
[6/9995] [6 success|0 fail] [SUCCESS] model_100072.obj (took 0.05s | total elapsed: 0.18s)
[7/9995] [7 success|0 fail] [SUCCESS] model_100034.obj (took 0.05s | total elapsed: 0.18s)
[8/9995] [8 success|0 fail] [SUCCESS] model_100070.obj (took 0.05s | total elapsed: 0.18s)
[9/9995] [9 success|0 fail] [SUCCESS] model_100040.obj (took 0.05s | total elapsed: 0.18s)
[10/9995] [10 success|0 fail] [SUCCESS] model_100045.obj (took 0.07s | total elapsed: 0.18s)
[11/9995] [11 success|0 fail] [SUCCESS] model_100031.obj (took 0.03s | total elapsed: 0.18s)
[12/9995] [12 success|0 fail] [SUCCESS] model_100046.obj (took 0.05s | total elapsed: 0.18s)
[13/9995] [13 success|0 fail] [SUCCESS] model_100026.obj (took 0.06s | total elapsed: 0.18s)
[14/9995] [14 success|0 fail] [SUCCESS] model_100077.obj (took 0.07s | total elapsed: 0.18s)
[15/9995] [15 success|0 fail] [SUCCESS] model_1001931.obj (took 0.05s | total elapsed: 0.18s)
[16/9995] [16 success|0 fail] [SUCCESS] model_100047.obj (took 0.05s | total elapsed: 0.18s)
[17/9995] [17 success|0 fail] [SUCCESS] model_100029.obj (took 0.03s | total elapsed: 0.18s)
[18/9995] [18 success|0 fail] [SUCCESS] model_100335.obj (took 0.07s | total elapsed: 0.18s)
[19/9995] [19 success|0 fail] [SUCCESS] model_100075.obj (took 0.07s | total elapsed: 0.18s)
[20/9995] [20 success|0 fail] [SUCCESS] model_100035.obj (took 0.06s | total elapsed: 0.18s)
[21/9995] [21 success|0 fail] [SUCCESS] model_100032.obj (took 0.08s | total elapsed: 0.18s)
[22/9995] [22 success|0 fail] [SUCCESS] model_100027.obj (took 0.06s | total elapsed: 0.18s)
[23/9995] [23 success|0 fail] [SUCCESS] model_100036.obj (took 0.05s | total elapsed: 0.18s)
[24/9995] [24 success|0 fail] [SUCCESS] model_100282.obj (took 0.08s | total elapsed: 0.18s)
[25/9995] [25 success|0 fail] [SUCCESS] model_100330.obj (took 0.08s | total elapsed: 0.18s)
[26/9995] [26 success|0 fail] [SUCCESS] model_100071.obj (took 0.08s | total elapsed: 0.18s)
[27/9995] [27 success|0 fail] [SUCCESS] model_100339.obj (took 0.08s | total elapsed: 0.18s)
